Id,Weekly_Sales
1_1_2012-11-02,27339.622500000012
1_1_2012-11-09,19779.56020000001
1_1_2012-11-16,22232.99350000002
1_1_2012-11-23,22553.951100000002
1_1_2012-11-30,22621.584900000013
1_1_2012-12-07,34123.3536
1_1_2012-12-14,33791.718400000005
1_1_2012-12-21,48066.9712
1_1_2012-12-28,22197.905600000002
1_1_2013-01-04,21310.525799999974
1_1_2013-01-11,19926.39259999997
1_1_2013-01-18,18613.828799999985
1_1_2013-01-25,18524.38619999999
1_1_2013-02-01,34405.656800000055
1_1_2013-02-08,34417.07380000006
1_1_2013-02-15,27529.31700000005
1_1_2013-02-22,25689.813600000016
1_1_2013-03-01,23876.161699999982
1_1_2013-03-08,22307.403299999987
1_1_2013-03-15,24314.65009999998
1_1_2013-03-22,30521.203499999996
1_1_2013-03-29,25385.833999999988
1_1_2013-04-05,31051.5447
1_1_2013-04-12,32118.569000000003
1_1_2013-04-19,19815.071900000014
1_1_2013-04-26,37449.14360000001
1_1_2013-05-03,19412.541200000003
1_1_2013-05-10,20125.646700000005
1_1_2013-05-17,29942.04530000003
1_1_2013-05-24,16879.65939999999
1_1_2013-05-31,16061.263900000004
1_1_2013-06-07,16557.189300000005
1_1_2013-06-14,17108.354100000008
1_1_2013-06-21,16268.5643
1_1_2013-06-28,16149.242900000003
1_1_2013-07-05,18502.447400000005
1_1_2013-07-12,16555.4383
1_1_2013-07-19,16635.680000000008
1_1_2013-07-26,15912.333700000003
1_2_2012-11-02,46425.88150000005
1_2_2012-11-09,46839.661100000034
1_2_2012-11-16,45022.165
1_2_2012-11-23,43266.71549999999
1_2_2012-11-30,43791.8912
1_2_2012-12-07,51854.90199999998
1_2_2012-12-14,52080.521899999956
1_2_2012-12-21,55156.0054
1_2_2012-12-28,42598.293999999994
1_2_2013-01-04,42374.157399999945
1_2_2013-01-11,44665.88509999997
1_2_2013-01-18,42974.830199999946
1_2_2013-01-25,42275.905499999986
1_2_2013-02-01,49169.51589999999
1_2_2013-02-08,52459.6082
1_2_2013-02-15,51251.26670000003
1_2_2013-02-22,51059.669099999985
1_2_2013-03-01,47712.20010000002
1_2_2013-03-08,44655.73769999996
1_2_2013-03-15,45775.29910000003
1_2_2013-03-22,48919.74239999998
1_2_2013-03-29,46888.34589999998
1_2_2013-04-05,47363.1802
1_2_2013-04-12,46184.96379999999
1_2_2013-04-19,45536.77670000001
1_2_2013-04-26,47519.33730000001
1_2_2013-05-03,45807.71429999998
1_2_2013-05-10,45372.85739999999
1_2_2013-05-17,49823.77509999995
1_2_2013-05-24,46737.54069999998
1_2_2013-05-31,45172.593199999996
1_2_2013-06-07,45934.143699999986
1_2_2013-06-14,47796.332200000004
1_2_2013-06-21,46780.45950000002
1_2_2013-06-28,46360.1126
1_2_2013-07-05,45038.72610000006
1_2_2013-07-12,45103.16560000005
1_2_2013-07-19,45396.33840000003
1_2_2013-07-26,45552.872100000015
1_3_2012-11-02,11375.678499999998
1_3_2012-11-09,11711.931499999999
1_3_2012-11-16,10222.416300000003
1_3_2012-11-23,9606.287200000006
1_3_2012-11-30,10881.651899999997
1_3_2012-12-07,13434.42040000001
1_3_2012-12-14,12122.401300000003
1_3_2012-12-21,12458.05760000001
1_3_2012-12-28,8806.352899999993
1_3_2013-01-04,13017.411500000006
1_3_2013-01-11,13618.826700000003
1_3_2013-01-18,12834.5805
1_3_2013-01-25,11261.333
1_3_2013-02-01,12099.915900000004
1_3_2013-02-08,12365.46050000001
1_3_2013-02-15,12266.433000000008
1_3_2013-02-22,12240.921600000007
1_3_2013-03-01,11594.716399999994
1_3_2013-03-08,11133.376399999994
1_3_2013-03-15,10154.419499999993
1_3_2013-03-22,10289.677299999992
1_3_2013-03-29,11183.390699999996
1_3_2013-04-05,11196.558899999989
1_3_2013-04-12,10193.703499999989
1_3_2013-04-19,8674.670799999989
1_3_2013-04-26,10862.48109999999
1_3_2013-05-03,8998.153099999992
1_3_2013-05-10,10263.378199999994
1_3_2013-05-17,10666.434799999995
1_3_2013-05-24,9893.847099999992
1_3_2013-05-31,8060.145399999995
1_3_2013-06-07,9531.2195
1_3_2013-06-14,14344.49839999999
1_3_2013-06-21,11850.503199999992
1_3_2013-06-28,11340.682699999998
1_3_2013-07-05,25207.477499999994
1_3_2013-07-12,19339.952299999975
1_3_2013-07-19,18427.685599999975
1_3_2013-07-26,19465.76069999997
1_4_2012-11-02,37898.106100000005
1_4_2012-11-09,38107.35040000002
1_4_2012-11-16,37491.90069999999
1_4_2012-11-23,45013.4219
1_4_2012-11-30,38250.541799999985
1_4_2012-12-07,41066.47530000002
1_4_2012-12-14,39737.26759999999
1_4_2012-12-21,42568.57870000003
1_4_2012-12-28,36801.16870000003
1_4_2013-01-04,37383.12349999998
1_4_2013-01-11,38310.79509999996
1_4_2013-01-18,34611.48790000001
1_4_2013-01-25,34509.67610000004
1_4_2013-02-01,37147.5505
1_4_2013-02-08,40317.0673
1_4_2013-02-15,39343.76860000002
1_4_2013-02-22,39012.93250000002
1_4_2013-03-01,38339.026799999985
1_4_2013-03-08,36701.54199999999
1_4_2013-03-15,37415.91849999997
1_4_2013-03-22,39422.13639999996
1_4_2013-03-29,38549.313399999985
1_4_2013-04-05,39054.89620000001
1_4_2013-04-12,36858.44709999998
1_4_2013-04-19,36572.31999999998
1_4_2013-04-26,37044.688299999994
1_4_2013-05-03,36478.46259999997
1_4_2013-05-10,36346.261500000015
1_4_2013-05-17,41178.319099999986
1_4_2013-05-24,38234.253000000026
1_4_2013-05-31,37707.13999999999
1_4_2013-06-07,37356.65829999999
1_4_2013-06-14,40021.25689999999
1_4_2013-06-21,37495.654499999975
1_4_2013-06-28,37945.222100000006
1_4_2013-07-05,36508.41679999998
1_4_2013-07-12,37381.40919999997
1_4_2013-07-19,37469.29689999997
1_4_2013-07-26,37378.79980000001
1_5_2012-11-02,30650.38079999997
1_5_2012-11-09,30136.647999999994
1_5_2012-11-16,29647.338800000005
1_5_2012-11-23,68074.73480000006
1_5_2012-11-30,28425.689400000003
1_5_2012-12-07,44797.20919999999
1_5_2012-12-14,45635.347299999965
1_5_2012-12-21,56095.495099999986
1_5_2012-12-28,33565.173399999956
1_5_2013-01-04,21694.1633
1_5_2013-01-11,21706.211300000028
1_5_2013-01-18,20814.856599999992
1_5_2013-01-25,21421.871499999976
1_5_2013-02-01,30162.71150000003
1_5_2013-02-08,36310.37840000004
1_5_2013-02-15,33936.80739999999
1_5_2013-02-22,31299.249500000005
1_5_2013-03-01,26995.97749999999
1_5_2013-03-08,32082.994200000005
1_5_2013-03-15,25007.835399999996
1_5_2013-03-22,27342.008100000006
1_5_2013-03-29,32483.902300000005
1_5_2013-04-05,27395.613099999973
1_5_2013-04-12,25922.50939999998
1_5_2013-04-19,18804.724899999976
1_5_2013-04-26,26602.656799999982
1_5_2013-05-03,16843.035899999988
1_5_2013-05-10,23202.36749999999
1_5_2013-05-17,23491.175600000006
1_5_2013-05-24,19110.446899999977
1_5_2013-05-31,17878.842799999988
1_5_2013-06-07,20001.43639999998
1_5_2013-06-14,19618.053499999976
1_5_2013-06-21,19657.066199999976
1_5_2013-06-28,19698.241799999967
1_5_2013-07-05,17928.187199999997
1_5_2013-07-12,16518.848999999977
1_5_2013-07-19,19231.88959999998
1_5_2013-07-26,16939.885899999983
1_6_2012-11-02,4328.2071000000005
1_6_2012-11-09,3373.1804999999986
1_6_2012-11-16,3520.914199999999
1_6_2012-11-23,16614.877600000003
1_6_2012-11-30,3544.398000000001
1_6_2012-12-07,8547.581300000003
1_6_2012-12-14,8824.5912
1_6_2012-12-21,14649.612700000003
1_6_2012-12-28,7175.128299999994
1_6_2013-01-04,2626.0645999999983
1_6_2013-01-11,3010.6227999999996
1_6_2013-01-18,2350.029599999999
1_6_2013-01-25,1908.2984999999983
1_6_2013-02-01,4196.796699999998
1_6_2013-02-08,7918.722299999994
1_6_2013-02-15,4337.890900000002
1_6_2013-02-22,4376.584300000004
1_6_2013-03-01,4069.0163000000007
1_6_2013-03-08,4104.9567
1_6_2013-03-15,4091.2371999999928
1_6_2013-03-22,4351.9048
1_6_2013-03-29,4220.484200000001
1_6_2013-04-05,3891.112799999998
1_6_2013-04-12,3654.1302
1_6_2013-04-19,3626.8662
1_6_2013-04-26,3768.3376999999973
1_6_2013-05-03,4630.032600000004
1_6_2013-05-10,4859.247400000001
1_6_2013-05-17,5002.531900000001
1_6_2013-05-24,4023.9861999999994
1_6_2013-05-31,4155.965600000001
1_6_2013-06-07,4153.085600000002
1_6_2013-06-14,3408.078399999999
1_6_2013-06-21,3477.8388999999997
